building_id,building_name,property_type,sqft,current_eui,reduction_needed_pct,recommended_opt_in,penalties_if_default,penalties_if_optin,npv_benefit_of_optin,primary_rationale,analysis_timestamp
6007,edison at rino,Multifamily Housing,234412.0,71.3,38.0,True,2858654.0,2922180.0,338305.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6008,platt park by windsor,Multifamily Housing,267296.0,48.4,-0.2,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6009,the pullman (pl208),Multifamily Housing,349598.0,42.2,-11.1,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6011,colab (cl135),Multifamily Housing,356280.0,58.0,23.4,True,2180434.0,2228888.0,258042.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6012,radiant,Multifamily Housing,365755.0,56.6,14.8,True,1086292.0,1413277.0,-101582.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6013,gables vista,Multifamily Housing,354359.0,49.5,2.0,False,53154.0,163005.0,-74195.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6014,encore at boulevard one (nc065),Multifamily Housing,435691.0,49.1,10.0,True,673143.0,982048.0,-143456.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6015,the quincy (tq36),Multifamily Housing,425288.0,62.7,29.5,True,2602763.0,3619201.0,-420437.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6016,trivista on speer (tr220),Multifamily Housing,317015.0,51.3,5.3,True,385173.0,393733.0,45583.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6017,the hub (brightly),Office,267686.0,47.8,1.5,True,84321.0,86195.0,9979.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6018,parq on speer - greystar (pa170),Multifamily Housing,542565.0,46.2,-6.3,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6021,co e43 llc,Manufacturing/Industrial Plant,36465.0,235.5,100.0,True,2996329.0,3062914.0,354598.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6022,"east 2nd ave investors, llc",Office,47327.0,54.0,-0.9,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6023,monaco 155,Multifamily Housing,51450.0,30.4,-45.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6024,"mf stapleton, llc",Office,43836.0,64.4,13.7,True,128220.0,177448.0,-20070.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6025,king street aparment - boryla,Multifamily Housing,45673.0,44.6,0.9,False,2740.0,8404.0,-3825.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6026,2015-denver-steele street,Self-Storage Facility,45375.0,21.0,63.3,True,191256.0,277604.0,-39781.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6027,co - boulevard one residences: boulevard one,Multifamily Housing,55205.0,47.2,6.4,True,42232.0,76183.0,-20089.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6028,1515 flats - fx51,Multifamily Housing,67115.0,28.4,-55.6,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6030,ride at rhino,Multifamily Housing,47180.0,42.5,-4.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6033,arroyo village apartments,Multifamily Housing,134554.0,58.3,20.2,True,538889.0,730359.0,-72628.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6034,carla madison rec center,Fitness Center/Health Club/Gym,69070.0,178.1,36.4,True,1317856.0,2058839.0,-384873.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6035,renaissance downtown lofts,Multifamily Housing,81718.0,64.9,31.9,True,533210.0,778119.0,-114005.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6036,the kasserman,Multifamily Housing,150132.0,27.1,-63.1,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6037,26946-lakewood/s wadsworth bl & yale,Self-Storage Facility,74521.0,18.4,58.2,True,358819.0,366792.0,42464.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
